Study,Year,y,lower_bound,upper_bound,n
Chiu et al 2017,2017,-1.15,-1.78,-0.53,23
Dowdell and Javaheri 1992,1992,-0.02,-1.07,1.03,7
Furushima et al 2009,2009,-0.41,-1.3,0.47,10
Horne and Reid 1985,1985,-0.29,-1.43,0.84,6
Jordan et al 1990,1990,0,-1.24,1.24,5
Liao et al 2008,2008,-0.33,-1.05,0.39,15
Liao et al 2013,2013,0.39,-0.17,0.95,25
Mishima et al 2005,2005,-0.77,-1.57,0.03,13
Sung and Tochihara 2000 body,2000,-0.89,-1.86,0.08,9
Sung and Tochihara 2000 feet,2000,-0.72,-1.67,0.24,9
Withworth-Turner et al 2017,2017,-0.47,-1.31,0.38,11
